Smartphone Samsung Galaxy S22, 899.99, 50
Laptop Dell XPS 13, 1199.99, 30
Tablet Apple iPad Air, 599.99, 25
Auriculares Sony WH-1000XM4, 299.99, 100
Smartwatch Garmin Fenix 6, 499.99, 15
Cámara Canon EOS R6, 2499.99, 10
Monitor LG UltraGear 27", 399.99, 40
Teclado mecánico Corsair K95, 199.99, 75
Disco duro externo Seagate 2TB, 79.99, 120
Ratón Logitech MX Master 3, 99.99, 60
TV OLED LG 55", 1399.99, 20
Barra de sonido Bose Soundbar 700, 699.99, 18
Impresora HP LaserJet Pro, 249.99, 45
Tarjeta gráfica Nvidia RTX 3080, 899.99, 8
Router TP-Link Archer AX6000, 349.99, 35
Consola Sony PlayStation 5, 499.99, 12
Altavoz inteligente Amazon Echo Dot, 49.99, 150
Smart TV Samsung QLED 65", 1799.99, 10
Cámara de acción GoPro HERO9, 399.99, 22
Tablet Samsung Galaxy Tab S7, 649.99, 30
